Date,英伟达,特斯拉,微软,亚马逊,Meta
2021-07-26,19.227497100830078,219.2066650390625,277.4003601074219,184.99099731445312,369.5598449707031
2021-07-27,19.14179039001465,214.92666625976562,274.99151611328125,181.3195037841797,364.9461364746094
2021-07-28,19.435773849487305,215.66000366210938,274.68438720703125,181.51600646972656,370.3735046386719
2021-07-29,19.594226837158203,225.78334045410156,274.953125,179.99600219726562,355.52996826171875
2021-07-30,19.431793212890625,229.06666564941406,273.4272155761719,166.37950134277344,353.5257263183594
2021-08-02,19.681926727294922,236.55667114257812,273.3408508300781,166.57400512695312,349.2095947265625
2021-08-03,19.7466983795166,236.5800018310547,275.548095703125,168.31199645996094,348.5050964355469
2021-08-04,20.20411491394043,236.97332763671875,274.9626770019531,167.73599243164062,356.1253356933594
2021-08-05,20.56586265563965,238.2100067138672,277.85137939453125,168.79949951171875,360.1438293457031
2021-08-06,20.295801162719727,233.03334045410156,277.7938232421875,167.2469940185547,360.6795654296875
2021-08-09,20.22504997253418,237.9199981689453,276.7093505859375,167.093505859375,358.79437255859375
2021-08-10,19.867284774780273,236.663330078125,274.8955383300781,166.03399658203125,358.318115234375
2021-08-11,19.63109588623047,235.94000244140625,275.3850402832031,164.60549926757812,357.1572265625
2021-08-12,19.836389541625977,240.75,278.129638671875,165.1750030517578,359.8262939453125
2021-08-13,20.11841583251953,239.05667114257812,281.04718017578125,164.69850158691406,360.3521728515625
2021-08-16,19.88123321533203,228.72332763671875,282.7266845703125,164.94949340820312,363.7058410644531
2021-08-17,19.39093017578125,221.90333557128906,281.2679138183594,162.09800720214844,355.6590270996094
2021-08-18,18.974367141723633,229.663330078125,279.54681396484375,160.06100463867188,352.6823425292969
2021-08-19,19.729755401611328,224.49000549316406,285.3544921875,159.3874969482422,352.35491943359375
2021-08-20,20.744247436523438,226.75332641601562,292.6524658203125,159.99749755859375,356.57183837890625
2021-08-23,21.88231086730957,235.43333435058594,292.9313049316406,163.2935028076172,360.52081298828125
2021-08-24,21.71787452697754,236.163330078125,290.97943115234375,165.28900146484375,362.6640319824219
2021-08-25,22.136430740356445,237.06666564941406,290.3929138183594,164.95899963378906,365.5216064453125
2021-08-26,21.991928100585938,233.72000122070312,287.58514404296875,165.8000030517578,361.5428466796875
2021-08-27,22.557971954345703,237.30667114257812,288.1909484863281,167.48150634765625,369.72857666015625
2021-08-30,22.609800338745117,243.6366729736328,291.9120178222656,171.07850646972656,377.696044921875
2021-08-31,22.31177520751953,245.24000549316406,290.2678527832031,173.5395050048828,376.426025390625
2021-09-01,22.367591857910156,244.69667053222656,290.2198181152344,173.9499969482422,379.0751647949219
2021-09-02,22.322734832763672,244.1300048828125,289.5659484863281,173.156005859375,372.3579406738281
2021-09-03,22.76827621459961,244.52333068847656,289.55633544921875,173.90249633789062,373.330322265625
2021-09-07,22.58786964416504,250.97332763671875,288.63323974609375,175.46449279785156,379.2042236328125
2021-09-08,22.26592254638672,251.2899932861328,288.66204833984375,176.27499389648438,374.630126953125
2021-09-09,22.10445213317871,251.6199951171875,285.8159484863281,174.20799255371094,375.0567321777344
2021-09-10,22.40446662902832,245.42333984375,284.335205078125,173.45750427246094,375.7414245605469
2021-09-13,22.07953643798828,247.6666717529297,285.56591796875,172.85850524902344,373.578369140625
2021-09-14,22.16924285888672,248.163330078125,288.2583312988281,172.5,373.59820556640625
2021-09-15,22.267919540405273,251.94332885742188,293.0947570800781,173.7895050048828,371.008544921875
2021-09-16,22.16924285888672,252.3300018310547,293.4793701171875,174.41200256347656,370.1551818847656
2021-09-17,21.828359603881836,253.163330078125,288.3351745605469,173.12600708007812,361.88018798828125
