date,close__晶澳科技,close__国轩高科,close__智飞生物,close__三花智控,close__圣邦股份,close__大秦铁路,close__华能水电,close__上港集团,close__皖通高速,close__建发股份,peTTM__晶澳科技,peTTM__国轩高科,peTTM__智飞生物,peTTM__三花智控,peTTM__圣邦股份,peTTM__大秦铁路,peTTM__华能水电,peTTM__上港集团,peTTM__皖通高速,peTTM__建发股份
2023-12-08,18.4356447,22.314375,59.9710408,27.51405925,62.5648118,6.57448957,8.20683036,4.653745,9.99488844,7.7253961,7.031734,88.512397,17.652215,33.956586,144.309957,9.799931,20.268311,8.931905,11.060857,1.908365
2023-12-11,18.47425338,22.17553,61.86922445,28.6341006,62.62599988,6.57448957,8.21646279,4.70958994,10.38286008,7.83864798,7.04646,87.961653,18.210937,35.33889,144.451091,9.799931,20.2921,9.039087,11.490207,1.936341
2023-12-12,18.28120998,21.9474275,62.437716,28.19582355,64.8593648,6.55655099,8.35131681,4.73751241,10.6692201,8.07324116,6.972829,87.05686,18.37827,34.797988,149.602498,9.773192,21.877461,9.092679,11.807108,1.994292
2023-12-13,17.79860148,21.441635,62.81349855,28.74123499,65.73129494,6.57448957,8.31278709,4.72820492,10.54913364,7.95998928,6.788752,85.050579,18.48888,35.47111,151.613664,9.799931,21.776527,9.074815,11.674214,1.966316
2023-12-14,17.71173195,20.58873,63.5554282,28.46852927,65.68540388,6.52067383,8.33205195,4.72820492,10.30896072,7.9276316,6.755618,81.667438,18.707263,35.134549,151.507813,9.719713,21.826994,9.074815,11.408426,1.958322
2023-12-15,17.80825365,20.3804625,57.97650265,28.28347896,65.2417903,6.44891951,8.25499251,4.70028245,10.05031296,7.86291624,6.792434,80.841323,17.065131,34.906169,150.484588,9.612757,21.625126,9.021224,11.122193,1.942336
2023-12-18,17.29668864,19.7854125,58.57390055,28.39061335,63.65854873,6.46685809,8.26462494,4.71889743,10.21658652,7.8871845,6.597312,78.480992,17.240972,35.038389,146.832735,9.639496,21.65036,9.056951,11.3062,1.948331
2023-12-19,17.48007987,19.95401,56.66608145,28.67305856,65.99134428,6.4578888,8.35131681,4.70028245,10.21658652,7.79011146,6.667262,79.149752,16.679414,35.38697,152.213485,9.626126,21.877461,9.021224,11.3062,1.924352
2023-12-20,17.25807996,19.5870625,56.93587405,28.21530253,66.41966084,6.46685809,8.33205195,4.70028245,10.22582394,7.7253961,6.582586,77.694215,16.758826,34.822028,153.201426,9.639496,21.826994,9.021224,11.316423,1.908365
2023-12-21,18.17503611,20.03335,55.99159995,27.81598344,65.777186,6.4578888,8.34168438,4.71889743,10.12421232,7.66877016,6.932332,79.464463,16.480883,34.329207,151.719514,9.626126,21.852228,9.056951,11.203974,1.894377
2023-12-22,18.40668819,20.2317,55.68326555,28.07894967,64.67580056,6.48479667,8.39947896,4.75612739,10.161162,7.78202204,7.020689,80.25124,16.390127,34.653748,149.179095,9.666235,22.003629,9.128406,11.244864,1.922353
2023-12-25,18.51286206,20.4002975,55.7121719,28.32243692,63.7120883,6.4578888,8.56323027,4.70958994,10.23506136,7.62832306,7.061186,80.92,16.398635,34.954249,146.956227,9.626126,22.432599,9.039087,11.326645,1.884386
2023-12-26,18.39703602,20.15236,55.6350883,27.38744588,62.66424243,6.47582738,8.55359784,4.70958994,10.05031296,7.61214422,7.017066,79.936529,16.375946,33.800326,144.5393,9.652865,22.407365,9.039087,11.122193,1.880389
