date,code,open,high,low,close,volume,name
2022-05-25,sz.000333,44.8390455000,45.0904794000,44.4199890000,44.7552342000,22197439,美的集团
2022-05-26,sz.000333,44.7552342000,45.3251510400,43.4142534000,45.1072416600,42382765,美的集团
2022-05-27,sz.000333,45.6184905900,45.9202112700,44.4283701300,44.5205625600,35255705,美的集团
2022-05-30,sz.000333,44.5457059500,45.0904794000,44.4283701300,44.7552342000,21638531,美的集团
2022-05-31,sz.000333,44.8306643700,45.6603962400,44.5038003000,45.6603962400,35509917,美的集团
2022-06-01,sz.000333,45.5095359000,45.9034490100,45.1323850500,45.4843925100,29205803,美的集团
2022-06-02,sz.000333,45.6227327200,45.6400271600,45.0347217600,45.4497883200,27584641,美的集团
2022-06-06,sz.000333,45.4670827600,45.7697354600,44.6023607600,45.6486743800,36520890,美的集团
2022-06-07,sz.000333,45.3979050000,45.9426798600,45.0520162000,45.8302660000,29169548,美的集团
2022-06-08,sz.000333,45.8389132200,46.5220436000,45.4238466600,45.8216187800,36297664,美的集团
2022-06-09,sz.000333,45.7005577000,45.9599743000,45.1298411800,45.2941383600,28683558,美的集团
2022-06-10,sz.000333,45.0606634200,45.2595494800,44.7493635000,45.1817245000,30034887,美的集团
2022-06-13,sz.000333,44.7925996000,44.8358357000,43.8068165200,44.1527053200,40426293,美的集团
2022-06-14,sz.000333,43.4955166000,44.5850663200,43.3398666400,44.4726524600,34842410,美的集团
2022-06-15,sz.000333,44.2045886400,47.5597100000,44.2045886400,47.0754656800,91507776,美的集团
2022-06-16,sz.000333,47.1014073400,47.4991794600,46.2539797800,46.5479852600,35938169,美的集团
2022-06-17,sz.000333,45.8562076600,47.9142460200,45.4151994400,47.3521767200,53813436,美的集团
2022-06-20,sz.000333,47.6980655200,49.7647511000,47.6980655200,49.3410373200,76530884,美的集团
2022-06-21,sz.000333,49.3756262000,50.4911175800,48.9865013000,49.5399233800,53707727,美的集团
2022-06-22,sz.000333,49.5226289400,49.5226289400,48.4244320000,48.4244320000,29721130,美的集团
2022-06-23,sz.000333,48.3898431200,48.8308513400,47.8191266000,48.4157847800,30453200,美的集团
2022-06-24,sz.000333,48.4157847800,50.9753619000,48.2168987200,49.9809316000,73201062,美的集团
2022-06-27,sz.000333,50.4132926000,51.9524977600,50.4132926000,51.1050702000,58158368,美的集团
2022-06-28,sz.000333,51.5374312000,51.5374312000,50.5430009000,51.1050702000,32252221,美的集团
2022-06-29,sz.000333,51.4336645600,52.4367420800,51.2001896200,51.2520729400,42072308,美的集团
2022-06-30,sz.000333,51.3298979200,52.4540365200,51.0185980000,52.2205615800,37053894,美的集团
2022-07-01,sz.000333,52.0476171800,52.0476171800,50.2922315200,50.8370063800,33785737,美的集团
2022-07-04,sz.000333,49.7561038800,51.9352033200,49.7561038800,51.8573783400,31375014,美的集团
2022-07-05,sz.000333,51.6671395000,53.1717557800,50.9321258000,51.4855478800,28384693,美的集团
2022-07-06,sz.000333,51.9265561000,52.7739836600,50.7332397400,51.2607201600,30764043,美的集团
2022-07-07,sz.000333,51.0358924400,51.7103756000,50.5862370000,50.7591814000,19747189,美的集团
2022-07-08,sz.000333,51.1223646400,51.1223646400,50.0674038000,50.6554147600,22725014,美的集团
2022-07-11,sz.000333,50.3787037200,51.1915424000,49.9117538400,50.9321258000,27354736,美的集团
2022-07-12,sz.000333,51.0618341000,52.6442753600,51.0618341000,51.9697922000,40810385,美的集团
2022-07-13,sz.000333,51.9524977600,52.0995005000,50.1798176600,50.4132926000,38790065,美的集团
2022-07-14,sz.000333,51.0185980000,51.1828951800,48.2947237000,48.5973764000,54519966,美的集团
2022-07-15,sz.000333,48.2514876000,48.9259707600,47.6894183000,47.7326544000,30267863,美的集团
2022-07-18,sz.000333,47.7326544000,48.3206653600,46.6949880000,47.8104793800,23549370,美的集团
2022-07-19,sz.000333,47.6461822000,48.1304265200,47.3521767200,47.5856516600,19709717,美的集团
2022-07-20,sz.000333,47.9661293400,48.7270847000,47.6461822000,47.9315404600,21705190,美的集团
2022-07-21,sz.000333,47.9920710000,48.3379598000,47.3867656000,47.4645905800,16384697,美的集团
2022-07-22,sz.000333,47.2570573000,47.9661293400,46.9544046000,47.6375349800,18646088,美的集团
2022-07-25,sz.000333,47.6461822000,49.0470318400,47.5683572200,48.8135569000,36027403,美的集团
2022-07-26,sz.000333,48.8567930000,50.0328149200,48.7443791400,49.6350428000,26304234,美的集团
2022-07-27,sz.000333,49.4620984000,49.5053345000,48.2255459400,48.3552542400,24440950,美的集团
2022-07-28,sz.000333,48.4244320000,48.5454930800,48.0007182200,48.2082515000,14614702,美的集团
2022-07-29,sz.000333,48.3811959000,48.5973764000,47.3694711600,47.5424155600,23747370,美的集团
2022-08-01,sz.000333,47.7758905000,47.8191266000,46.7641657600,47.2224684200,18646747,美的集团
2022-08-02,sz.000333,46.7641657600,46.7814602000,45.7437938000,46.3490992000,26048594,美的集团
2022-08-03,sz.000333,46.0118576200,46.7036352200,45.0347217600,45.1817245000,31878019,美的集团
2022-08-04,sz.000333,45.3114328000,45.6313799400,45.0520162000,45.3979050000,13529107,美的集团
2022-08-05,sz.000333,45.6054382800,45.8043243400,45.0347217600,45.8043243400,19819083,美的集团
2022-08-08,sz.000333,45.4411411000,45.8043243400,45.2509022600,45.3373744600,21808178,美的集团
2022-08-09,sz.000333,45.3546689000,45.8821493200,45.1817245000,45.5362605200,16051580,美的集团
2022-08-10,sz.000333,45.5103188600,45.5103188600,44.7666579400,44.8185412600,16302356,美的集团
2022-08-11,sz.000333,45.2249606000,45.8129715600,44.8617773600,45.7610882400,22953884,美的集团
2022-08-12,sz.000333,45.5794966200,46.2280381200,45.3373744600,45.9686215200,16987856,美的集团
2022-08-15,sz.000333,45.9772687400,46.3490992000,45.4151994400,45.6573216000,18323472,美的集团
2022-08-16,sz.000333,45.6746160400,45.7351465800,45.2249606000,45.4843772000,16335748,美的集团
2022-08-17,sz.000333,45.5362605200,46.5912213600,45.0606634200,46.2020964600,23843481,美的集团
2022-08-18,sz.000333,45.9167382000,46.0464465000,45.3200800200,45.5016716400,14088456,美的集团
2022-08-19,sz.000333,45.5535549600,45.6659688200,45.1817245000,45.4930244200,13215250,美的集团
2022-08-22,sz.000333,45.3633161200,46.3058631000,45.2163133800,45.8648548800,23817591,美的集团
2022-08-23,sz.000333,45.7870299000,45.9167382000,44.9655440000,45.0693106400,22034863,美的集团
2022-08-24,sz.000333,45.0520162000,45.1211939600,44.3688858200,44.4380635800,21584197,美的集团
2022-08-25,sz.000333,44.4380635800,45.3200800200,44.0748803400,45.1644300600,20989258,美的集团
2022-08-26,sz.000333,45.3806105600,45.5362605200,44.8704245800,45.1644300600,16040627,美的集团
2022-08-29,sz.000333,44.6196552000,45.7178521400,44.5418302200,45.2076661600,16456070,美的集团
2022-08-30,sz.000333,45.3892577800,46.0118576200,45.0347217600,45.2249606000,20270847,美的集团
2022-08-31,sz.000333,45.0520162000,46.3923353000,45.0433689800,46.0377992800,46283836,美的集团
2022-09-01,sz.000333,46.0291520600,47.9920710000,46.0291520600,47.6548294200,64210545,美的集团
2022-09-02,sz.000333,47.6548294200,47.6548294200,45.9772687400,46.3923353000,36746048,美的集团
2022-09-05,sz.000333,45.9167382000,46.6949880000,45.7264993600,46.5220436000,19027545,美的集团
2022-09-06,sz.000333,46.5306908200,46.8765796200,46.1761548000,46.2280381200,17796217,美的集团
2022-09-07,sz.000333,46.4096297400,46.4269241800,45.8129715600,45.8735021000,20995308,美的集团
2022-09-08,sz.000333,45.8735021000,46.4788075000,45.8735021000,46.1502131400,15365677,美的集团
2022-09-09,sz.000333,46.1502131400,48.1044848600,46.0550937200,47.9401876800,52388062,美的集团
2022-09-13,sz.000333,47.9401876800,49.2026818000,47.6202405400,48.8481457800,34602446,美的集团
2022-09-14,sz.000333,47.9920710000,48.6406125000,47.9055988000,48.3639014600,18747266,美的集团
2022-09-15,sz.000333,48.3293125800,49.4620984000,48.1563681800,48.7184374800,28969848,美的集团
2022-09-16,sz.000333,48.4157847800,48.5109042000,47.4732378000,47.6634766400,25993997,美的集团
2022-09-19,sz.000333,47.2743517400,47.9401876800,46.7987546400,47.5424155600,20360049,美的集团
2022-09-20,sz.000333,47.4300017000,47.6461822000,46.0896826000,46.2799214400,35065981,美的集团
2022-09-21,sz.000333,47.0668184600,47.0927601200,45.2595494800,45.7005577000,26775169,美的集团
2022-09-22,sz.000333,45.6054382800,45.6140855000,44.3515913800,44.5331830000,40143184,美的集团
2022-09-23,sz.000333,44.1959414200,44.8704245800,44.1008220000,44.3948274800,17517602,美的集团
2022-09-26,sz.000333,44.1008220000,44.9655440000,44.0057025800,44.1440581000,20553286,美的集团
2022-09-27,sz.000333,44.2305303000,44.8617773600,43.4955166000,44.6888329600,24764967,美的集团
2022-09-28,sz.000333,44.5331830000,44.7666579400,44.1872942000,44.2478247400,13557668,美的集团
2022-09-29,sz.000333,44.5072413400,44.7580107200,43.4955166000,43.6684610000,25319493,美的集团
2022-09-30,sz.000333,43.3485138600,43.7289915400,42.6394418200,42.6394418200,35563830,美的集团
2022-10-10,sz.000333,42.6394418200,43.2274527800,41.9044281200,42.1119614000,26014496,美的集团
2022-10-11,sz.000333,42.1033141800,42.2416697000,41.5066560000,41.8266031400,22003690,美的集团
2022-10-12,sz.000333,41.5498921000,41.7660726000,40.6419340000,41.7401309400,24097124,美的集团
