Date,AAPL,AMD,AMZN,BAC,CVX,GOOGL,GS,JNJ,JPM,KO,META,MSFT,NVDA,PFE,PG,QQQ,SPY,TSLA,WMT,XOM
2019-04-15,70146400,40812500,74488000,57438800,,23796000,6617200,5380900,15163800,10261300,10834800,15792600,440092000,18362788,5639200,21073000,49596700,150579000,15335700,8536100
2019-04-16,102785600,47340100,60892000,105168400,,22622000,4852600,10745700,11583200,10804600,11215200,14071800,394964000,27506976,8136100,27195700,52153200,109093500,14485200,7005700
2019-04-17,115627200,48240800,57870000,94831600,,30366000,4195300,9543700,17791900,11849300,9973700,19300900,351004000,42412117,6778100,29651600,58268300,76897500,11187600,8311400
2019-04-18,96783200,39880900,54998000,61796600,,24750000,2874300,10485300,12501900,12167000,11655600,27991000,380988000,50579774,7248900,28580900,68708500,88144500,11183400,9493900
2019-04-22,77758000,36477300,67476000,34763400,,19084000,1591400,4666500,7975900,9834700,13389900,15648700,279936000,31018904,9057200,17936000,40160100,182206500,15238200,10770600
2019-04-23,93292000,41777500,92808000,41889700,,31868000,2120900,5790500,9193100,25327800,19954800,24025500,346856000,26672102,15979800,33665600,52246600,164158500,15152400,10595100
2019-04-24,70162400,51784700,73516000,40078100,,23396000,4606100,5676300,9245700,15997300,37289900,31257000,318204000,21196994,10094800,24977100,50392900,160912500,14093400,11684000
2019-04-25,74172800,57329700,121982000,43243800,,31344000,2075300,5218100,9311800,11444400,54148800,38033900,499296000,18130065,6085300,29517500,57770900,327741000,11883300,11135000
2019-04-26,74596400,48827900,168652000,40627500,,27228000,1543100,4613600,7889300,10154300,22075000,23654900,868988000,20053193,7747400,26359500,50916400,335410500,24323100,18053500
2019-04-29,88818800,44532700,80426000,68408600,,72368000,2997000,4275200,14242200,9731500,19641300,16324200,391920000,23229001,4787600,21716200,57197700,250717500,19139100,10023700
2019-04-30,186139600,73165900,70120000,47764200,,133178000,1833000,6003700,11389100,17912900,23494700,24166500,362920000,34360400,8251300,31495300,81111700,141969000,18400800,13721500
