date,close,preclose,volume,pctChg,tradestatus
2022-08-26,91.1269635000,91.9185115000,11632660,-0.861100,1
2022-08-29,90.6520347000,91.1269635000,11280475,-0.521200,1
2022-08-30,92.2747081000,90.6520347000,12449338,1.790000,1
2022-08-31,92.7496369000,92.2747081000,19177161,0.514700,1
2022-09-01,89.6230223000,92.7496369000,12050400,-3.371000,1
2022-09-02,88.9205234500,89.6230223000,9942942,-0.783800,1
2022-09-05,87.5847862000,88.9205234500,14235228,-1.502200,1
2022-09-06,87.9310884500,87.5847862000,10309821,0.395400,1
2022-09-07,88.0597150000,87.9310884500,14406496,0.146300,1
2022-09-08,86.7734495000,88.0597150000,8656331,-1.460700,1
2022-09-09,87.9805602000,86.7734495000,12517770,1.391100,1
2022-09-13,88.1586585000,87.9805602000,9456721,0.202400,1
2022-09-14,87.4066879000,88.1586585000,9064620,-0.853000,1
2022-09-15,85.8235919000,87.4066879000,9817966,-1.811200,1
2022-09-16,82.8157095000,85.8235919000,11942788,-3.504700,1
2022-09-19,85.2892970000,82.8157095000,20272393,2.986900,1
2022-09-20,84.9331004000,85.2892970000,11000086,-0.417600,1
2022-09-21,84.1019750000,84.9331004000,16360385,-0.978600,1
2022-09-22,82.1231050000,84.1019750000,14542522,-2.352900,1
2022-09-23,81.1336700000,82.1231050000,13440305,-1.204800,1
2022-09-26,82.6672942500,81.1336700000,13552808,1.890200,1
2022-09-27,84.0030315000,82.6672942500,9808040,1.615800,1
2022-09-28,81.7570140500,84.0030315000,9935327,-2.673700,1
2022-09-29,80.6191638000,81.7570140500,10381147,-1.391700,1
2022-09-30,79.2834265500,80.6191638000,8710171,-1.656800,1
2022-10-10,74.0987871500,79.2834265500,14151677,-6.539400,1
2022-10-11,74.7023425000,74.0987871500,11892265,0.814500,1
2022-10-12,75.9391362500,74.7023425000,19276706,1.655600,1
2022-10-13,75.6917775000,75.9391362500,11613179,-0.325700,1
2022-10-14,79.5406796500,75.6917775000,16159407,5.085000,1
2022-10-17,79.9562423500,79.5406796500,11074458,0.522500,1
2022-10-18,79.5208909500,79.9562423500,8097203,-0.544500,1
