date,工商银行,中国石化,招商银行,上汽集团,海螺水泥,格力电器,福耀玻璃,分众传媒,双汇发展,华域汽车,老板电器,索菲亚,晨光股份,健帆生物,罗莱生活
2024-05-22,1485307965208.3333,608577189921.3973,743901107836.0758,167019600967.7419,100676818661.71005,232055170156.65796,93343907906.85773,97186994985.48135,89578245453.67258,51893141467.40437,24412331578.71815,12226411870.707624,35542103661.51342,14878702533.74613,7481823155.665373
2024-05-23,1480929402671.4802,604955723904.9393,732324090249.8884,164170621384.2282,99428841821.86235,230141915056.616,92799855051.22275,96188192336.50418,88420733685.4937,51198564744.58011,24345334092.544983,11881682991.126556,35245318339.76834,14654535242.999676,7456557546.186642
2024-05-24,1466570086293.2063,609833630684.9316,716566009478.6731,164241657011.32074,97705275220.95673,229851621187.3031,91608868156.99658,94594968180.93005,88454618822.10078,50768130609.156265,23998996376.74195,11702750333.840929,33978709674.62039,14623793229.90127,7448343152.235427
2024-05-27,1476642074100.0,618467457762.1862,724810919060.6936,166498125257.79037,98442985123.16808,234045044766.72287,95104585461.68959,95020480805.50098,89767267800.0,50790443915.43485,23961483636.363636,11613305684.926498,34145670231.839256,14670071504.548637,7456629441.453566
2024-05-28,1480061766322.3142,625909001248.0858,718618626577.1229,163059239269.93863,97830726982.93799,232020680444.83212,94841133024.85005,93582689027.93295,89013601984.46936,50228901078.10413,23645165426.136364,11319371081.705936,34112406832.669323,14393778544.722164,7408994427.775396
2024-05-29,1474116100142.0117,628778929271.1371,713247629941.1765,163543579662.16217,97705796008.84955,229933247795.65216,93931482723.38402,93288363457.6098,89360082288.49666,50672844487.8383,23053884225.08162,11325699701.336811,33826847123.28767,14529534478.021978,7374144312.393888
2024-05-30,1466280108206.9797,621143912808.1558,708390549819.255,164668854546.74225,98107950055.66379,229439576690.68735,93805958365.5162,91855828295.9581,88374883909.60454,50890502758.79397,23100579397.63272,11268333850.267382,33558522346.938774,14555329117.821196,7348338219.611387
2024-05-31,1463387255317.46,612319681193.4901,707183032606.4047,162878700206.77768,96036685020.81407,227257326556.3599,92612898354.19037,91560089301.45685,87779740597.70114,50658387933.18048,22557739036.366993,11191817064.456196,32873140182.45614,14378840553.86488,7366341331.934977
2024-06-03,1467254502800.0,607677050929.6686,704443778917.9104,166706090447.08908,97904748782.60869,231602266688.01138,92509360000.0,92135577737.5,87829446495.75803,50915982296.53306,22275351397.23165,11370284703.395674,32611314274.095158,14425447740.878902,7267960355.029586
2024-06-04,1475713539354.8384,601226203698.6301,712405410618.238,165031696183.03574,98234903125.98013,232143763465.55322,92538225809.93521,94737827371.15073,88049282788.64354,51513204152.87145,22658947586.752872,11721695383.042316,33815279137.724552,14685315448.77864,7283570677.227723
2024-06-05,1472077882596.2913,594647426137.6517,701148987098.5074,164030021138.32852,97384913936.5918,228363787842.20737,93941122229.9169,94310086831.07469,87034603090.05548,51291441357.435196,22285471798.667652,11415521524.866156,33223431663.80789,14467143549.951502,7233958736.689254
2024-06-06,1472039835595.9138,601320729276.1904,701376254645.1417,163630541573.92688,97082227791.35338,231752612674.37003,95538785453.3523,94458465909.66124,86332776369.13768,51049151078.28207,22367454492.976715,11268224762.574745,32941190171.763718,14373290144.834242,7217882911.58083
2024-06-07,1487819392493.2002,597365963947.3684,701163242217.1533,163324679647.5771,97204836730.50616,229463198250.52487,95044996277.0691,94013759330.4365,86245401334.8042,50946394165.9864,22078842415.463814,11140284018.465597,32377072975.547787,14331481762.797913,7333518888.888887
2024-06-11,1466609253117.9324,586968764798.8076,688179134197.7891,163218044641.14835,95437465836.44385,226523709891.56268,95678403650.79367,92860977899.86093,86307560840.81247,50250944127.12046,22358935687.263554,10993931264.990608,31718789966.461708,14513477793.555433,7292921367.989056
2024-06-12,1455642823500.0002,590748438630.5085,682597165110.9319,164239418013.55933,95486392535.61253,227263341816.22913,94055196999.0575,92716940581.91437,87758652942.14876,50727479007.88835,22530753122.344944,10962016775.396088,31955891238.772457,14540207299.532543,7309291042.5844345
2024-06-13,1464837464125.5605,583051061969.0402,677054584634.4207,161682224701.392,93102559863.48123,224631702988.38437,94025488733.9106,87953116723.5859,88104936888.339,49214781874.18086,22183527701.773434,10795763423.389381,31235805091.79927,14451642137.40458,7207687456.015217
2024-06-14,1482490913629.7378,584013253434.6102,697493400143.5406,165545988660.64093,95278409177.24734,228498481629.5904,93531434107.27142,87957383823.52942,89039207575.75757,50477220865.38462,22584357376.806835,10923399573.534788,31501792177.777775,14133122224.189384,7358896618.680951
2024-06-17,1464686744866.9949,568867548033.912,695702120342.4965,165741511554.97156,94787133993.96811,225328046475.06027,92578558417.58243,88678240243.71274,87513982508.08481,50793685902.8177,22245434207.209476,10699728495.077356,31496258723.404263,14570849260.548065,6953556149.95537
2024-06-18,1468906735120.6436,571612163434.9442,695470550109.1405,166182578235.2941,95303425466.07832,225584399029.69714,92978944389.44792,87374520636.09468,86384115582.25508,51333988268.55123,21893176733.06773,10571615934.64798,31036918411.55235,14691228447.052143,6927977155.910909
2024-06-19,1482232101086.9565,576639779633.0809,704568875457.7466,163974881972.60275,94852867318.27806,223217213366.58353,91239310327.63533,87239070613.05733,86205389549.54955,50983499295.77465,21535796168.104824,10418833237.756624,30559891674.303837,14342520681.525934,6896153943.217666
2024-06-20,1489050789178.2551,585838411591.1602,701407853215.9747,162272488139.30347,95105496145.19429,222055115493.5928,90897236885.5615,86654325328.37999,84032923672.69267,50473588856.526436,21190173946.49569,10188762807.582636,30056752565.055767,14195906666.666666,6811561519.565839
2024-06-21,1485370327074.3406,583012871585.4342,695178990551.181,162651609600.6797,98191905396.74716,221690892816.2345,90474924663.07814,87958634180.13857,83896078979.68398,51016874214.65969,21162403195.962997,10265883750.685432,29701687480.0,14310282650.18254,6805576923.076923
2024-06-24,1502184381130.0815,582353009441.0876,702905142323.5032,162027196969.69696,92548905479.45206,223603866283.08398,91028620611.43985,86945507323.59229,82790735092.34828,50513646887.15953,20860866798.49341,10099472091.633465,28968168104.49187,14055073306.12245,6671270810.649117
2024-06-25,1509543984516.129,580134948344.9236,707462665158.371,161555683173.1503,94202921616.54135,225726290074.55362,92400433909.58247,85785006411.56898,82801809500.54288,51322380817.78151,21395845899.540836,10310255028.47045,29151477391.946808,14154490927.916378,6747542003.514939
2024-06-26,1518599472670.9402,583933236919.5046,702682343691.887,161364984411.21494,94723017561.19882,222805512196.78622,95219490072.23207,86798898217.18259,83193217340.04314,51736475555.55555,21499491747.211895,10284160666.529522,29764558687.089714,14544930581.57264,6754140025.094103
2024-06-27,1536486256191.2896,584914170188.6792,706808371460.4236,159613334651.5837,94150711662.44298,220434366333.73206,95042213692.94606,86795297528.31314,82853746738.29623,51514905246.02574,21048226896.486942,9926965371.287127,29384354154.727795,14305009168.99052,6670837736.389686
2024-06-28,1536901621686.747,600082093771.4567,705193094782.2676,160470579500.0,94359850127.06479,218961929481.27377,95940372796.81763,87516575491.2598,82326197375.23993,51639334972.41544,20702236611.581356,9792443568.1724,28899102451.2885,14186220546.81648,6680553909.044456
2024-07-01,1569071147575.7576,606885435209.3022,708873744604.6309,160388433333.3333,93356640876.04291,217173206939.10577,95624044231.29625,87950978462.95444,83384091411.04294,50700822081.44796,21001882807.17692,10207975311.909264,28876339120.87912,14592609603.430782,6663433454.485921
2024-07-02,1610108713884.1199,612385712687.9135,723734896860.6033,159212476964.11252,95117515938.96713,213624094112.542,94221270769.23076,89545856625.17725,82797642857.14285,50157191060.55852,20569628467.11098,9895064994.149439,28487402825.063385,14284442583.392477,6572736111.111111
2024-07-03,1587475802858.5461,610700888444.2782,710972940674.4255,159423880940.2795,96188445073.95668,212870281467.4286,92475991785.0186,90844836318.2947,82463084507.04225,49401190344.25203,20468800480.76923,9793250316.455698,28638871267.743515,13971583894.184011,6557457342.657342
2024-07-04,1607530530957.7754,618264728579.6915,716105852966.2523,158564844455.44553,95758551446.281,212262326520.0362,94348531655.43388,90414717295.66853,80943062695.25269,49249891334.00201,20198079349.341595,9658436875.462559,27894718911.17478,13878506152.396338,6573495108.549987
2024-07-05,1571903345752.8696,610594860357.3556,698965677015.5618,157627919466.19217,96665339746.93715,210490706638.05438,95622926610.33224,89825105157.45102,81052276992.87103,49345488738.597046,20172990822.61522,9753988190.314358,27648997505.745094,14456827023.756824,6572916372.618208
2024-07-08,1587354350448.598,617326142520.2156,701299182601.1343,154853345316.45572,98791295216.33585,211863293241.85953,94722352618.48175,88681026701.72084,79811642505.80046,48839118520.29402,19726189487.216526,9530598829.22599,26970067859.424923,14038973637.92548,6540712433.661866
2024-07-09,1601709721587.5916,621036687142.8572,710964654091.664,156203996199.3243,98793265043.87798,214296881154.27307,97612554918.94394,87806403925.65056,80448636319.19481,49594277537.8226,19728550553.58296,9384001013.114582,26927517435.320583,13862400404.459425,6548384819.277108
