name,pubDate,roe
阳光电源,2017-08-15,0.059607
新易盛,2017-08-15,0.061837
海天味业,2017-08-15,0.182133
温氏股份,2017-08-15,0.06245
浙商证券,2017-08-16,0.047003
春秋航空,2017-08-17,0.073506
中国联通,2017-08-17,0.009987
北方稀土,2017-08-18,0.013348
天齐锂业,2017-08-18,0.182865
中国巨石,2017-08-18,0.090216
中信特钢,2017-08-18,0.05018
海大集团,2017-08-18,0.091119
宁波银行,2017-08-18,0.092037
中国铝业,2017-08-18,0.019912
中国平安,2017-08-18,0.107329
歌尔股份,2017-08-18,0.058595
三六零,2017-08-18,0.015666
华鲁恒升,2017-08-18,0.06515
中航沈飞,2017-08-18,-0.063778
赛力斯,2017-08-18,0.099802
华润三九,2017-08-19,0.082848
紫金矿业,2017-08-19,0.04958
招商银行,2017-08-19,0.095552
浙能电力,2017-08-19,0.040984
同花顺,2017-08-21,0.100484
宝信软件,2017-08-22,0.048687
通威股份,2017-08-22,0.066441
紫光国微,2017-08-22,0.038091
东山精密,2017-08-22,0.023604
招商蛇口,2017-08-22,0.061736
天赐材料,2017-08-22,0.104899
圣邦股份,2017-08-22,0.06754
海螺水泥,2017-08-22,0.085568
沪电股份,2017-08-22,0.030489
思源电气,2017-08-22,0.034214
中航西飞,2017-08-22,0.005967
新和成,2017-08-23,0.072995
浪潮信息,2017-08-23,0.036005
中国建筑,2017-08-23,0.092487
国投资本,2017-08-24,0.046361
国电电力,2017-08-24,0.034202
世纪华通,2017-08-24,0.131697
北方华创,2017-08-24,0.016428
赣锋锂业,2017-08-24,0.233943
广汽集团,2017-08-24,0.132403
中煤能源,2017-08-24,0.019532
包钢股份,2017-08-24,0.012359
豪威集团,2017-08-24,0.062071
云南白药,2017-08-24,0.094804
中信银行,2017-08-25,0.062639
立讯精密,2017-08-25,0.058777
紫光股份,2017-08-25,0.033488
中国石油,2017-08-25,0.010618
华域汽车,2017-08-25,0.085041
光线传媒,2017-08-25,0.056532
巨化股份,2017-08-25,0.049971
中国人寿,2017-08-25,0.039992
中国卫星,2017-08-25,0.035958
万科A,2017-08-25,0.064601
南京银行,2017-08-25,0.080977
宝钢股份,2017-08-25,0.045249
润泽科技,2017-08-25,0.002544
中兴通讯,2017-08-25,0.082788
华工科技,2017-08-25,0.054379
交通银行,2017-08-25,0.061263
中金黄金,2017-08-25,0.01594
汇川技术,2017-08-25,0.090497
招商证券,2017-08-25,0.037433
巨人网络,2017-08-25,0.090096
圆通速递,2017-08-25,0.083063
中国核电,2017-08-25,0.061914
片仔癀,2017-08-25,0.119406
方正证券,2017-08-25,0.022936
广发证券,2017-08-26,0.054003
小商品城,2017-08-26,0.098937
上海银行,2017-08-26,0.065913
华友钴业,2017-08-26,0.144604
海航控股,2017-08-26,0.019729
山西汾酒,2017-08-26,0.124697
中信证券,2017-08-26,0.034403
长城汽车,2017-08-26,0.051588
顺丰控股,2017-08-26,0.088911
国泰海通,2017-08-26,0.04386
杭州银行,2017-08-26,0.0643
中国船舶,2017-08-26,-0.001321
中国中车,2017-08-26,0.033491
爱尔眼科,2017-08-26,0.123503
拓普集团,2017-08-26,0.08156
用友网络,2017-08-26,-0.01176
陕西煤业,2017-08-26,0.148146
中国神华,2017-08-26,0.0821
光大银行,2017-08-26,0.065657
长电科技,2017-08-26,0.01329
上海机场,2017-08-26,0.074637
古井贡酒,2017-08-26,0.096152
金风科技,2017-08-26,0.055861
南山铝业,2017-08-26,0.023317
五粮液,2017-08-28,0.103888
中国太保,2017-08-28,0.049446
芒果超媒,2017-08-28,0.012178
东方证券,2017-08-28,0.04315
兆易创新,2017-08-28,0.131821
兖矿能源,2017-08-28,0.068857
亿联网络,2017-08-28,0.180908
铜陵有色,2017-08-28,0.014065
国信证券,2017-08-28,0.041303
中油资本,2017-08-28,0.053192
云铝股份,2017-08-28,0.015781
海尔智家,2017-08-28,0.158939
中国石化,2017-08-28,0.037862
洛阳钼业,2017-08-28,0.044604
领益智造,2017-08-29,0.025438
中际旭创,2017-08-29,0.007128
民生银行,2017-08-29,0.079481
航发动力,2017-08-29,0.010238
比亚迪,2017-08-29,0.033171
中天科技,2017-08-29,0.06564
洋河股份,2017-08-29,0.147903
中国电建,2017-08-29,0.05343
泸州老窖,2017-08-29,0.132318
京东方A,2017-08-29,0.053611
上海医药,2017-08-29,0.06
藏格矿业,2017-08-29,0.051628
胜宏科技,2017-08-29,0.076232
特变电工,2017-08-29,0.052904
晶盛机电,2017-08-29,0.042855
兴业证券,2017-08-29,0.041083
中国化学,2017-08-29,0.030682
同仁堂,2017-08-29,0.075765
宇通客车,2017-08-29,0.062507
三环集团,2017-08-29,0.083292
复星医药,2017-08-30,0.072104
三一重工,2017-08-30,0.04946
南方航空,2017-08-30,0.062726
中国东航,2017-08-30,0.087939
新华保险,2017-08-30,0.053575
华东医药,2017-08-30,0.139395
中国中冶,2017-08-30,0.036396
天山铝业,2017-08-30,0.073481
隆基绿能,2017-08-30,0.116383
中远海能,2017-08-30,0.031148
中国交建,2017-08-30,0.045981
科伦药业,2017-08-30,0.02231
保利发展,2017-08-30,0.062535
