date,工商银行,建设银行,中国石油,贵州茅台,招商银行,中国神华,中国平安,长江电力,万华化学,三一重工,海康威视,伊利股份,格力电器,紫金矿业,保利发展,中际旭创,韦尔股份,北方稀土,天齐锂业,兆易创新,东方财富,三六零
2020-09-29,1328678725104.8953,59075583974.04882,664074369094.8276,2085793491073.4868,756304330199.3785,273388098087.02176,836311909295.8334,432691755063.13885,100834619095.58067,209072764727.27277,299504024636.95184,226314979755.27612,318179655890.9682,122778393273.87694,192617439846.30164,34276396032.631145,134918060879.8055,39354930168.45612,30314849490.646835,73297255543.34438,173111566021.01202,30279890487.356323
2020-09-30,1328481358003.5652,59170539282.07655,664021421477.5725,2103901920180.8904,745270697262.1298,272916094850.4552,830924885363.9673,431888333551.63727,98979972088.51422,210679143956.21445,306707595387.4813,228805161459.2834,317758918909.32983,121191631210.59732,190757990449.71677,34260222182.050182,135965683019.23918,39070662587.34002,29200916200.272697,72768681645.52542,172402958645.75528,29820631706.904507
2020-10-09,1328909716213.3892,58910671380.32512,669156842724.5509,2133998754446.0747,750323885733.945,274283414177.33987,845352426425.3083,432028818531.272,102008053855.27638,218003942545.7737,308190384413.1679,236457314249.48077,326789106190.65375,122005638835.27963,191384641254.10373,34855931134.60697,140434308732.97525,40074671864.76492,30823245237.998013,74391028648.33832,175671662875.59274,30050977303.54391
2020-10-12,1332482752785.4854,59352560314.76807,672569038921.7391,2182702610264.292,766910419760.3801,275697727368.6496,871992756108.8284,434635331302.34937,107625284495.33156,226764008371.6786,309822331258.9928,244693821246.9257,332333273798.60706,127641340815.40907,195170887363.2208,35795972923.252914,143658221403.91495,41262838739.04094,31331666452.92453,77025433189.46239,183405801850.43863,31402730395.37901
2020-10-13,1328934470644.1223,59322245676.38022,670858942656.8267,2188149243335.1587,777754708959.2577,275787044934.75684,877708605259.117,435363045371.3528,112328123766.5823,233631501408.01788,315955702805.8415,244629576594.32004,333055047249.33234,128087455809.66684,193480957393.44263,36045293789.43699,146159868296.2963,41420212442.73948,31608895125.891422,77586213342.60846,184881823649.45065,31311630827.19547
2020-10-14,1326598486762.452,59064841895.62548,667175415099.5024,2180562324380.368,780103028999.0375,274106279253.5107,878995337064.2997,435573882976.5625,114396738876.5164,234241440999.53564,313908691331.51434,246616757855.3616,343876112175.1204,126931711574.87624,192549766868.46448,36176121640.747856,143187273742.53122,41009013231.62643,30955420338.732147,76845813489.6164,184249325683.52576,30920206584.59992
2020-10-15,1330032167707.775,59630022841.14708,664555325460.3175,2171512059286.8213,802753255466.299,276560457469.4056,888986958639.7345,430455586356.8011,113654242424.65608,233587021035.3316,319025889292.5975,245079254728.43973,347329775250.1749,129305642181.33252,193832338600.50177,36331621433.18649,143470656581.94055,41111383029.03923,32488182809.30965,78452280659.64635,185279443596.07623,30674891777.04648
2020-10-16,1343900987012.9172,61144050566.60914,665172240510.2041,2162868324027.4763,821080344167.1329,279797491638.68365,890862524548.5366,431013290800.0,113438130979.90796,232216281573.1213,312667171212.22766,244203217629.86285,347105891545.5347,131038504475.82576,193552353527.0867,36267737329.94159,143052357202.18802,40517758170.878456,31559620346.04698,76892377511.4958,184936500694.46957,30486136615.48731
2020-10-19,1357553141114.5752,62965580359.38524,667630604890.8297,2145253700006.5312,838343387894.0731,280131102880.8511,902434013225.8828,430186763860.54425,113868289003.84303,230464771971.50427,317751860989.2171,239272087596.16483,344686809725.2657,130277058189.632,197273908909.437,36669769284.76821,138782123684.2774,40789535072.14015,30759680697.31801,76484894668.96384,188708314846.9183,30549111320.71632
2020-10-20,1340745518152.2957,61059357150.28805,663720516638.6555,2168391094121.3767,825009933996.111,276565550019.2678,881809344158.3639,428352473675.2137,113239063044.18454,227951434729.364,317483655682.96185,242807330068.4422,344015200538.65656,132049297636.50124,192717834157.17795,35923921156.8177,136759641099.78464,40113941967.55994,29357344512.596416,75240756861.48523,188999332849.18304,30364345202.31214
