日期,原始价,前复权,后复权
2022-09-19,1871.6400146484375,1673.7847900390625,2466.3113885176904
2022-09-20,1878.0,1679.47265625,2474.6924236996824
2022-09-21,1848.0,1652.643798828125,2435.160270585217
2022-09-22,1820.81005859375,1628.3282470703125,2399.3314576008515
2022-09-23,1834.4300537109375,1640.5081787109375,2417.278510468944
2022-09-26,1863.0,1666.05810546875,2454.9261672726097
2022-09-27,1888.0,1688.4154052734375,2487.8695082881045
2022-09-28,1883.0,1683.9439697265625,2481.2808760589737
2022-09-29,1880.3499755859375,1681.5740966796875,2477.78888299055
2022-09-30,1872.5,1674.5537109375,2467.444388638119
2022-10-10,1786.0,1597.197998046875,2353.461230943992
2022-10-11,1779.989990234375,1591.8232421875,2345.5415619008954
2022-10-12,1760.0,1573.9464111328125,2319.2001634826715
2022-10-13,1699.989990234375,1520.2802734375,2240.1234462347993
2022-10-14,1737.6099853515625,1553.9234619140625,2289.69647341224
2022-10-17,1718.5,1536.8336181640625,2264.514695850724
2022-10-18,1705.8299560546875,1525.5029296875,2247.818997457599
2022-10-19,1648.0,1473.7862548828125,2171.6148015501367
2022-10-20,1643.5,1469.761962890625,2165.685032543919
2022-10-21,1624.0,1452.3233642578125,2139.989366850308
2022-10-24,1501.280029296875,1342.576416015625,1978.2779270549615
2022-10-25,1479.75,1323.3223876953125,1949.9072371049585
2022-10-26,1464.0799560546875,1309.308837890625,1929.258359374355
2022-10-27,1401.0,1252.897216796875,1846.1361895612254
2022-10-28,1360.0,1216.2313232421875,1792.1092254125115
2022-10-31,1350.0,1207.288330078125,1778.9317810844097
2022-11-01,1462.010009765625,1307.45751953125,1926.530453385084
2022-11-02,1471.9599609375,1316.35595703125,1939.642245221686
2022-11-03,1439.5,1287.3272705078125,1896.8686577255341
2022-11-04,1516.5699462890625,1356.2498779296875,1998.4256874120908
2022-11-07,1507.1099853515625,1347.7899169921875,1985.9599880397814
2022-11-08,1484.8800048828125,1327.9100341796875,1956.667105421508
2022-11-09,1459.9000244140625,1305.57080078125,1923.7503851422925
2022-11-10,1475.0,1319.074462890625,1943.6479465523644
2022-11-11,1528.1500244140625,1366.60595703125,2013.6853050048505
2022-11-14,1533.0,1370.9432373046875,2020.0762602801237
2022-11-15,1588.0,1420.129150390625,2092.5513946704045
2022-11-16,1585.25,1417.6695556640625,2088.927197269783
2022-11-17,1567.0,1401.348876953125,2064.8787795683747
2022-11-18,1567.1300048828125,1401.46533203125,2065.0503753954727
2022-11-21,1519.97998046875,1359.299560546875,2002.9193756179434
2022-11-22,1539.949951171875,1377.1583251953125,2029.2341532998882
2022-11-23,1549.0,1385.2518310546875,2041.1598834133429
2022-11-24,1519.989990234375,1359.308349609375,2002.9323262464036
2022-11-25,1522.010009765625,1361.1148681640625,2005.5942200044956
2022-11-28,1509.8800048828125,1350.267333984375,1989.6104464370028
2022-11-29,1599.0,1429.966064453125,2107.0460258348135
2022-11-30,1599.0,1429.966064453125,2107.0460258348135
2022-12-01,1630.800048828125,1458.404541015625,2148.949942655894
2022-12-02,1633.8800048828125,1461.158935546875,2153.0085257194514
2022-12-05,1664.9000244140625,1488.8997802734375,2193.8844864065036
2022-12-06,1688.0,1509.5577392578125,2224.3238593831848
2022-12-07,1684.0,1505.98046875,2219.0527737300404
2022-12-08,1687.02001953125,1508.6812744140625,2223.0323939339587
2022-12-09,1730.0,1547.1177978515625,2279.6683701078855
2022-12-12,1739.02001953125,1555.184326171875,2291.5543489867605
2022-12-13,1750.0,1565.003662109375,2306.023078894249
2022-12-14,1770.8699951171875,1583.6673583984375,2333.5239182993414
