Date,英伟达,特斯拉,微软,亚马逊,Meta
2022-03-28,28.134925842285156,363.9466552734375,299.9140625,168.99049377441406,221.84906005859375
2022-03-29,28.570621490478516,366.5233459472656,304.4606018066406,169.31500244140625,228.0702362060547
2022-03-30,27.607501983642578,364.663330078125,302.9643249511719,166.30099487304688,226.07586669921875
2022-03-31,27.204702377319336,359.20001220703125,297.6069641113281,162.99749755859375,220.62864685058594
2022-04-01,26.632413864135742,361.5299987792969,298.6784973144531,163.55999755859375,223.09925842285156
2022-04-04,27.278484344482422,381.8166809082031,304.03582763671875,168.34649658203125,232.06883239746094
2022-04-05,25.853742599487305,363.7533264160156,300.0877380371094,164.05499267578125,230.03482055664062
2022-04-06,24.33428192138672,348.586669921875,289.10284423828125,158.75599670410156,221.56129455566406
2022-04-07,24.135875701904297,352.4200134277344,290.9079284667969,157.7845001220703,221.2140350341797
2022-04-08,23.05011749267578,341.8299865722656,286.66064453125,154.4604949951172,220.598876953125
2022-04-11,21.851701736450195,325.30999755859375,275.357177734375,151.1219940185547,214.7745819091797
2022-04-12,21.439929962158203,328.98333740234375,272.2682189941406,150.78750610351562,212.4726104736328
2022-04-13,22.1368465423584,340.7900085449219,277.6352233886719,155.54100036621094,213.3159942626953
2022-04-14,21.194664001464844,328.3333435058594,270.11566162109375,151.7064971923828,208.54345703125
2022-04-18,21.718103408813477,334.7633361816406,270.78167724609375,152.78500366210938,209.1288604736328
2022-04-19,22.131860733032227,342.7166748046875,275.3957824707031,158.11549377441406,215.61793518066406
2022-04-20,21.417999267578125,325.73333740234375,276.4189758300781,153.9980010986328,198.85946655273438
2022-04-21,20.12286949157715,336.260009765625,271.0616455078125,148.29600524902344,186.60560607910156
2022-04-22,19.45685577392578,335.01666259765625,264.5170593261719,144.35000610351562,182.6764678955078
2022-04-25,19.84270477294922,332.67333984375,270.974853515625,146.07400512695312,185.53402709960938
2022-04-26,18.732023239135742,292.1400146484375,260.8392639160156,139.39100646972656,179.54104614257812
2022-04-27,18.360132217407227,293.836669921875,273.3879699707031,138.16700744628906,173.5877685546875
2022-04-28,19.72306251525879,292.5033264160156,279.575439453125,144.59649658203125,204.12811279296875
2022-04-29,18.491743087768555,290.2533264160156,267.8858947753906,124.28150177001953,198.9090576171875
2022-05-02,19.47480583190918,300.9800109863281,274.5946044921875,124.5,209.48606872558594
2022-05-03,19.543594360351562,303.0833435058594,271.9980163574219,124.25350189208984,210.3790740966797
2022-05-04,20.27341651916504,317.5400085449219,279.91326904296875,125.92849731445312,221.67044067382812
2022-05-05,18.787858963012695,291.09332275390625,267.7216796875,116.40699768066406,206.6582489013672
2022-05-06,18.61935806274414,288.54998779296875,265.1927490234375,114.77249908447266,202.18336486816406
2022-05-09,16.899499893188477,262.3699951171875,255.39508056640625,108.78900146484375,194.6822509765625
2022-05-10,17.542579650878906,266.67999267578125,260.14422607421875,108.85900115966797,196.11099243164062
2022-05-11,16.58045196533203,244.6666717529297,251.50497436523438,105.37200164794922,187.27041625976562
2022-05-12,16.126808166503906,242.6666717529297,246.48548889160156,106.93049621582031,189.75096130371094
2022-05-13,17.653247833251953,256.5299987792969,252.05516052246094,113.05500030517578,197.07347106933594
2022-05-16,17.212566375732422,241.4566650390625,252.4220733642578,110.81050109863281,198.48240661621094
2022-05-17,18.122840881347656,253.8699951171875,257.55731201171875,115.36849975585938,201.04234313964844
2022-05-18,16.887537002563477,236.60333251953125,245.83082580566406,107.11250305175781,190.7431640625
2022-05-19,17.07298469543457,236.47332763671875,244.92135620117188,107.31900024414062,189.80052185058594
2022-05-20,16.644262313842773,221.3000030517578,244.3601531982422,107.59100341796875,192.0330047607422
2022-05-23,16.847658157348633,224.96665954589844,252.18746948242188,107.55699920654297,194.70205688476562
2022-05-24,16.10587501525879,209.3866729736328,251.1909637451172,104.0999984741211,179.86849975585938
2022-05-25,16.92442512512207,219.60000610351562,253.99676513671875,106.7750015258789,182.39862060546875
2022-05-26,17.797815322875977,235.91000366210938,257.2670593261719,111.07749938964844,190.1378936767578
2022-05-27,18.754955291748047,253.2100067138672,264.3687744140625,115.14649963378906,193.6106414794922
2022-05-31,18.616371154785156,252.75332641601562,263.0432434082031,120.20950317382812,192.13226318359375
2022-06-01,18.265419006347656,246.7899932861328,263.5753479003906,121.68399810791016,187.17117309570312
2022-06-02,19.53363037109375,258.3333435058594,265.6653137207031,125.51100158691406,197.3115997314453
2022-06-03,18.66422462463379,234.51666259765625,261.2532958984375,122.3499984741211,189.2945098876953
2022-06-06,18.730024337768555,238.27999877929688,260.0245361328125,124.79000091552734,192.73748779296875
2022-06-07,18.86961555480957,238.8866729736328,263.6528015136719,123.0,194.12657165527344
2022-06-08,18.596372604370117,241.86666870117188,261.6306457519531,121.18000030517578,195.10888671875
2022-06-09,17.998031616210938,239.7066650390625,256.193115234375,116.1500015258789,182.56727600097656
2022-06-10,16.927005767822266,232.22999572753906,244.77622985839844,109.6500015258789,174.20294189453125
2022-06-13,15.603679656982422,215.73666381835938,234.3945770263672,103.66999816894531,162.98098754882812
2022-06-14,15.792159080505371,220.88999938964844,236.55218505859375,102.30999755859375,162.45513916015625
2022-06-15,16.481245040893555,233.0,243.58612060546875,107.66999816894531,168.0313720703125
2022-06-16,15.557806968688965,213.10000610351562,237.01658630371094,103.66000366210938,159.6173858642578
2022-06-17,15.83603572845459,216.75999450683594,239.6095733642578,106.22000122070312,162.465087890625
2022-06-21,16.5201416015625,237.0366668701172,245.5018768310547,108.68000030517578,155.8271484375
2022-06-22,16.314708709716797,236.086669921875,244.9116973876953,108.94999694824219,154.63650512695312
2022-06-23,16.180084228515625,235.07000732421875,250.4556427001953,112.44000244140625,157.51390075683594
2022-06-24,17.07858657836914,245.7066650390625,259.0086364746094,116.45999908447266,168.83505249023438
2022-06-27,16.82229995727539,244.9199981689453,256.28985595703125,113.22000122070312,168.17030334472656
2022-06-28,15.937753677368164,232.663330078125,248.15293884277344,107.4000015258789,159.4288787841797
2022-06-29,15.498970985412598,228.49000549316406,251.81021118164062,108.91999816894531,162.6634979248047
2022-06-30,15.117030143737793,224.47332763671875,248.4915313720703,106.20999908447266,159.9944610595703
2022-07-01,14.482791900634766,227.26333618164062,251.1522674560547,109.55999755859375,158.78396606445312
2022-07-05,14.922571182250977,233.06666564941406,254.31605529785156,113.5,166.8804168701172
2022-07-06,15.088111877441406,231.73333740234375,257.56695556640625,114.33000183105469,168.4481201171875
2022-07-07,15.814096450805664,244.5433349609375,259.6859130859375,116.33000183105469,170.84927368164062
2022-07-08,15.794148445129395,250.76333618164062,258.9698791503906,115.54000091552734,169.5494842529297
2022-07-11,15.1100492477417,234.3433380126953,255.9221954345703,111.75,161.6117706298828
2022-07-12,15.040242195129395,233.07000732421875,245.4341583251953,109.22000122070312,161.9987030029297
